EmployeeNumber,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,,HourlyRate,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
944,49,0,Travel_Rarely,527,Research & Development,8,College,Other,Female,51,3,Laboratory Technician,Medium,Married,7403,22477,4,Yes,No,11,Excellent,High,29,3,2,26,9,1
945,48,0,Travel_Rarely,1469,Research & Development,20,Master,Medical,Male,51,1,Research Scientist,High,Married,2259,5543,4,Yes,No,17,Excellent,Low,13,2,2,0,0,0
947,31,0,Non-Travel,1188,Sales,20,College,Marketing,Female,45,2,Sales Executive,High,Married,6932,24406,1,Yes,No,13,Excellent,Very High,9,2,2,9,8,0
949,36,0,Travel_Rarely,188,Research & Development,7,Master,Other,Male,65,1,Research Scientist,Very High,Single,4678,23293,2,Yes,No,18,Excellent,High,8,6,3,6,2,0
950,38,0,Travel_Rarely,1333,Research & Development,1,Bachelor,Technical Degree,Female,80,3,Research Director,Low,Married,13582,16292,1,Yes,No,13,Excellent,Medium,15,3,3,15,12,5
951,32,0,Non-Travel,1184,Research & Development,1,Bachelor,Life Sciences,Female,70,1,Laboratory Technician,Medium,Married,2332,3974,6,Yes,No,20,Outstanding,High,5,3,3,3,0,0
952,25,1,Travel_Rarely,867,Sales,19,College,Marketing,Male,36,1,Sales Representative,Medium,Married,2413,18798,1,Yes,Yes,18,Excellent,High,1,2,3,1,0,0
954,40,0,Travel_Rarely,658,Sales,10,Master,Marketing,Male,67,3,Sales Executive,Medium,Divorced,9705,20652,2,Yes,No,12,Excellent,Medium,11,2,2,1,0,0
956,26,0,Travel_Frequently,1283,Sales,1,Bachelor,Medical,Male,52,2,Sales Executive,Low,Single,4294,11148,1,Yes,No,12,Excellent,Medium,7,2,3,7,7,0
957,41,0,Travel_Rarely,263,Research & Development,6,Bachelor,Medical,Male,59,1,Laboratory Technician,Low,Single,4721,3119,2,Yes,Yes,13,Excellent,High,20,3,3,18,13,2
958,36,0,Travel_Rarely,938,Research & Development,2,Master,Medical,Male,79,1,Laboratory Technician,High,Single,2519,12287,4,Yes,No,21,Outstanding,High,16,6,3,11,8,3
959,19,1,Travel_Rarely,419,Sales,21,Bachelor,Other,Male,37,1,Sales Representative,Medium,Single,2121,9947,1,Yes,Yes,13,Excellent,Medium,1,3,4,1,0,0
960,20,1,Travel_Rarely,129,Research & Development,4,Bachelor,Technical Degree,Male,84,1,Laboratory Technician,Low,Single,2973,13008,1,Yes,No,19,Excellent,Medium,1,2,3,1,0,0
961,31,0,Travel_Rarely,616,Research & Development,12,Bachelor,Medical,Female,41,2,Healthcare Representative,Very High,Married,5855,17369,0,Yes,Yes,11,Excellent,High,10,2,1,9,7,8
964,40,0,Travel_Frequently,1469,Research & Development,9,Master,Medical,Male,35,1,Research Scientist,Medium,Divorced,3617,25063,8,Yes,Yes,14,Excellent,Very High,3,2,3,1,1,0
966,32,0,Travel_Rarely,498,Research & Development,3,Master,Medical,Female,93,2,Manufacturing Director,Low,Married,6725,13554,1,Yes,No,12,Excellent,High,8,2,4,8,7,6
967,36,1,Travel_Rarely,530,Sales,3,Below College,Life Sciences,Male,51,3,Sales Executive,Very High,Married,10325,5518,1,Yes,Yes,11,Excellent,Low,16,6,3,16,7,3
969,33,0,Travel_Rarely,1069,Research & Development,1,Bachelor,Life Sciences,Female,42,2,Healthcare Representative,Very High,Single,6949,12291,0,Yes,No,14,Excellent,Low,6,3,3,5,0,1
970,37,1,Travel_Rarely,625,Sales,1,Master,Life Sciences,Male,46,3,Sales Executive,High,Married,10609,14922,5,Yes,No,11,Excellent,High,17,2,1,14,1,11
972,45,0,Non-Travel,805,Research & Development,4,College,Life Sciences,Male,57,2,Laboratory Technician,Medium,Married,4447,23163,1,Yes,No,12,Excellent,Medium,9,5,2,9,7,0
974,29,0,Travel_Frequently,1404,Sales,20,Bachelor,Technical Degree,Female,84,1,Sales Representative,Very High,Married,2157,18203,1,Yes,No,15,Excellent,Medium,3,5,3,3,1,0
975,35,0,Travel_Rarely,1219,Sales,18,Bachelor,Medical,Female,86,2,Sales Executive,High,Married,4601,6179,1,Yes,No,16,Excellent,Medium,5,3,3,5,2,1
976,52,0,Travel_Rarely,1053,Research & Development,1,College,Life Sciences,Male,70,4,Manager,Very High,Married,17099,13829,2,Yes,No,15,Excellent,Medium,26,2,2,9,8,7
977,58,1,Travel_Rarely,289,Research & Development,2,Bachelor,Technical Degree,Male,51,1,Research Scientist,High,Single,2479,26227,4,Yes,No,24,Outstanding,Low,7,4,3,1,0,0
981,53,0,Travel_Rarely,1376,Sales,2,College,Medical,Male,45,4,Manager,High,Divorced,14852,13938,6,Yes,No,13,Excellent,High,22,3,4,17,13,15
982,30,0,Travel_Rarely,231,Sales,8,College,Other,Male,62,3,Sales Executive,High,Divorced,7264,9977,5,Yes,No,11,Excellent,Low,10,2,4,8,4,7
983,38,0,Non-Travel,152,Sales,10,Bachelor,Technical Degree,Female,85,2,Sales Executive,Very High,Single,5666,19899,1,Yes,Yes,13,Excellent,Medium,6,1,3,5,3,1
984,35,0,Travel_Rarely,882,Sales,3,Master,Life Sciences,Male,92,3,Sales Executive,Very High,Divorced,7823,6812,6,Yes,No,13,Excellent,Medium,12,2,3,10,9,0
985,39,0,Travel_Rarely,903,Sales,2,Doctor,Life Sciences,Male,41,3,Sales Executive,High,Single,7880,2560,0,Yes,No,18,Excellent,Very High,9,3,3,8,7,0
986,40,1,Non-Travel,1479,Sales,24,Bachelor,Life Sciences,Female,100,4,Sales Executive,Medium,Single,13194,17071,4,Yes,Yes,16,Excellent,Very High,22,2,2,1,0,0
987,47,0,Travel_Frequently,1379,Research & Development,16,Master,Medical,Male,64,2,Manufacturing Director,High,Divorced,5067,6759,1,Yes,Yes,19,Excellent,High,20,3,4,19,10,2
990,36,0,Non-Travel,1229,Sales,8,Master,Technical Degree,Male,84,2,Sales Executive,Very High,Divorced,5079,25952,4,Yes,No,13,Excellent,Very High,12,3,3,7,7,0
991,31,1,Non-Travel,335,Research & Development,9,College,Medical,Male,46,1,Research Scientist,Low,Single,2321,10322,0,Yes,Yes,22,Outstanding,Low,4,0,3,3,2,1
992,33,0,Non-Travel,722,Sales,17,Bachelor,Life Sciences,Male,38,4,Manager,High,Single,17444,20489,1,Yes,No,11,Excellent,Very High,10,2,3,10,8,6
994,29,1,Travel_Rarely,906,Research & Development,10,Bachelor,Life Sciences,Female,92,1,Research Scientist,Low,Single,2404,11479,6,Yes,Yes,20,Outstanding,High,3,5,3,0,0,0
995,33,0,Travel_Rarely,461,Research & Development,13,Below College,Life Sciences,Female,53,1,Research Scientist,Very High,Single,3452,17241,3,Yes,No,18,Excellent,Low,5,4,3,3,2,0
996,45,0,Travel_Rarely,974,Research & Development,1,Master,Medical,Female,91,1,Laboratory Technician,Very High,Divorced,2270,11005,3,Yes,No,14,Excellent,Very High,8,2,3,5,3,0
997,50,0,Travel_Rarely,1126,Research & Development,1,College,Medical,Male,66,4,Research Director,Very High,Divorced,17399,6615,9,Yes,No,22,Outstanding,High,32,1,2,5,4,1
998,33,0,Travel_Frequently,827,Research & Development,1,Master,Other,Female,84,2,Healthcare Representative,Medium,Married,5488,20161,1,Yes,Yes,13,Excellent,Low,6,2,3,6,5,1
999,41,0,Travel_Frequently,840,Research & Development,9,Bachelor,Medical,Male,64,5,Research Director,High,Divorced,19419,3735,2,Yes,No,17,Excellent,Medium,21,2,4,18,16,0
1001,27,0,Travel_Rarely,1134,Research & Development,16,Master,Technical Degree,Female,37,1,Laboratory Technician,Medium,Married,2811,12086,9,Yes,No,14,Excellent,Medium,4,2,3,2,2,2
1002,45,0,Non-Travel,248,Research & Development,23,College,Life Sciences,Male,42,2,Laboratory Technician,Low,Married,3633,14039,1,Yes,Yes,15,Excellent,High,9,2,3,9,8,0
1003,47,0,Travel_Rarely,955,Sales,4,College,Life Sciences,Female,83,2,Sales Executive,Very High,Single,4163,8571,1,Yes,Yes,17,Excellent,High,9,0,3,9,0,0
1004,30,1,Travel_Rarely,138,Research & Development,22,Bachelor,Life Sciences,Female,48,1,Research Scientist,High,Married,2132,11539,4,Yes,Yes,11,Excellent,Medium,7,2,3,5,2,0
1005,50,0,Travel_Rarely,939,Research & Development,24,Bachelor,Life Sciences,Male,95,4,Manufacturing Director,High,Married,13973,4161,3,Yes,Yes,18,Excellent,Very High,22,2,3,12,11,1
1006,38,0,Travel_Frequently,1391,Research & Development,10,Below College,Medical,Male,66,1,Research Scientist,High,Married,2684,12127,0,Yes,No,17,Excellent,Medium,3,0,2,2,1,0
1007,46,0,Travel_Rarely,566,Research & Development,7,College,Medical,Male,75,3,Manufacturing Director,High,Divorced,10845,24208,6,Yes,No,13,Excellent,Medium,13,3,3,8,7,0
1009,24,0,Travel_Rarely,1206,Research & Development,17,Below College,Medical,Female,41,2,Manufacturing Director,High,Divorced,4377,24117,1,Yes,No,15,Excellent,Medium,5,6,3,4,2,3
1010,35,1,Travel_Rarely,622,Research & Development,14,Master,Other,Male,39,1,Laboratory Technician,Medium,Divorced,3743,10074,1,Yes,Yes,24,Outstanding,Very High,5,2,1,4,2,0
1011,31,0,Travel_Frequently,853,Research & Development,1,Below College,Life Sciences,Female,96,2,Manufacturing Director,Low,Married,4148,11275,1,Yes,No,12,Excellent,High,4,1,3,4,3,0
1012,18,0,Non-Travel,287,Research & Development,5,College,Life Sciences,Male,73,1,Research Scientist,Very High,Single,1051,13493,1,Yes,No,15,Excellent,Very High,0,2,3,0,0,0
1013,54,0,Travel_Rarely,1441,Research & Development,17,Bachelor,Technical Degree,Female,56,3,Manufacturing Director,High,Married,10739,13943,8,Yes,No,11,Excellent,High,22,2,3,10,7,0
1014,35,0,Travel_Rarely,583,Research & Development,25,Master,Medical,Female,57,3,Healthcare Representative,High,Divorced,10388,6975,1,Yes,Yes,11,Excellent,High,16,3,2,16,10,10
1015,30,0,Travel_Rarely,153,Research & Development,8,College,Life Sciences,Female,73,3,Research Director,Low,Married,11416,17802,0,Yes,Yes,12,Excellent,High,9,4,2,8,7,1
1016,20,1,Travel_Rarely,1097,Research & Development,11,Bachelor,Medical,Female,98,1,Research Scientist,Low,Single,2600,18275,1,Yes,Yes,15,Excellent,Low,1,2,3,1,0,0
1017,30,1,Travel_Frequently,109,Research & Development,5,Bachelor,Medical,Female,60,1,Laboratory Technician,Medium,Single,2422,25725,0,Yes,No,17,Excellent,Low,4,3,3,3,2,1
1018,26,0,Travel_Rarely,1066,Research & Development,2,College,Medical,Male,32,2,Manufacturing Director,Very High,Married,5472,3334,1,Yes,No,12,Excellent,Medium,8,2,3,8,7,1
1019,22,0,Travel_Rarely,217,Research & Development,8,Below College,Life Sciences,Male,94,1,Laboratory Technician,Low,Married,2451,6881,1,Yes,No,15,Excellent,Low,4,3,2,4,3,1
1022,48,0,Travel_Rarely,277,Research & Development,6,Bachelor,Life Sciences,Male,97,2,Healthcare Representative,High,Single,4240,13119,2,Yes,No,13,Excellent,Very High,19,0,3,2,2,2
1024,48,0,Travel_Rarely,1355,Research & Development,4,Master,Life Sciences,Male,78,3,Healthcare Representative,High,Single,10999,22245,7,Yes,No,14,Excellent,Medium,27,3,3,15,11,4
1025,41,0,Travel_Rarely,549,Research & Development,7,College,Medical,Female,42,2,Manufacturing Director,High,Single,5003,23371,6,Yes,No,14,Excellent,Medium,8,6,3,2,2,2
1026,39,0,Travel_Rarely,466,Research & Development,1,Below College,Life Sciences,Female,65,4,Manufacturing Director,Very High,Married,12742,7060,1,Yes,No,16,Excellent,High,21,3,3,21,6,11
1027,27,0,Travel_Rarely,1055,Research & Development,2,Master,Life Sciences,Female,47,2,Manufacturing Director,Very High,Married,4227,4658,0,Yes,No,18,Excellent,Medium,4,2,3,3,2,2
1028,35,0,Travel_Rarely,802,Research & Development,10,Bachelor,Other,Male,45,1,Laboratory Technician,Very High,Divorced,3917,9541,1,Yes,No,20,Outstanding,Low,3,4,2,3,2,1
1029,42,0,Travel_Rarely,265,Sales,5,College,Marketing,Male,90,5,Manager,High,Married,18303,7770,6,Yes,No,13,Excellent,Medium,21,3,4,1,0,0
1030,50,0,Travel_Rarely,804,Research & Development,9,Bachelor,Life Sciences,Male,64,1,Laboratory Technician,Very High,Married,2380,20165,4,Yes,No,18,Excellent,Medium,8,5,3,1,0,0
1032,59,0,Travel_Rarely,715,Research & Development,2,Bachelor,Life Sciences,Female,69,4,Manufacturing Director,Very High,Single,13726,21829,3,Yes,Yes,13,Excellent,Low,30,4,3,5,3,4
1033,37,1,Travel_Rarely,1141,Research & Development,11,College,Medical,Female,61,2,Healthcare Representative,Medium,Married,4777,14382,5,Yes,No,15,Excellent,Low,15,2,1,1,0,0
1034,55,0,Travel_Frequently,135,Research & Development,18,Master,Medical,Male,62,2,Healthcare Representative,Medium,Married,6385,12992,3,Yes,Yes,14,Excellent,Very High,17,3,3,8,7,6
1035,41,0,Non-Travel,247,Research & Development,7,Below College,Life Sciences,Female,55,5,Research Director,High,Divorced,19973,20284,1,Yes,No,22,Outstanding,Medium,21,3,3,21,16,5
1036,38,0,Travel_Rarely,1035,Sales,3,Master,Life Sciences,Male,42,2,Sales Executive,Very High,Single,6861,4981,8,Yes,Yes,12,Excellent,High,19,1,3,1,0,0
1037,26,1,Non-Travel,265,Sales,29,College,Medical,Male,79,2,Sales Executive,Low,Single,4969,21813,8,Yes,No,18,Excellent,Very High,7,6,3,2,2,2
1038,52,1,Travel_Rarely,266,Sales,2,Below College,Marketing,Female,57,5,Manager,Very High,Married,19845,25846,1,Yes,No,15,Excellent,Very High,33,3,3,32,14,6
1039,44,0,Travel_Rarely,1448,Sales,28,Bachelor,Medical,Female,53,4,Sales Executive,Very High,Married,13320,11737,3,Yes,Yes,18,Excellent,High,23,2,3,12,11,11
1040,50,0,Non-Travel,145,Sales,1,Bachelor,Life Sciences,Female,95,2,Sales Executive,High,Married,6347,24920,0,Yes,No,12,Excellent,Low,19,3,3,18,7,0
1042,36,1,Travel_Rarely,885,Research & Development,16,Master,Life Sciences,Female,43,1,Laboratory Technician,Low,Single,2743,8269,1,Yes,No,16,Excellent,High,18,1,3,17,13,15
1043,39,0,Travel_Frequently,945,Research & Development,22,Bachelor,Medical,Female,82,3,Manufacturing Director,Low,Single,10880,5083,1,Yes,Yes,13,Excellent,High,21,2,3,21,6,2
1044,33,0,Non-Travel,1038,Sales,8,Below College,Life Sciences,Female,88,1,Sales Representative,Very High,Single,2342,21437,0,Yes,No,19,Excellent,Very High,3,2,2,2,2,2
1045,45,0,Travel_Rarely,1234,Sales,11,College,Life Sciences,Female,90,4,Manager,Very High,Married,17650,5404,3,Yes,No,13,Excellent,Medium,26,4,4,9,3,1
1046,32,0,Non-Travel,1109,Research & Development,29,Master,Medical,Female,69,1,Laboratory Technician,High,Single,4025,11135,9,Yes,No,12,Excellent,Medium,10,2,3,8,7,7
1047,34,0,Travel_Rarely,216,Sales,1,Master,Marketing,Male,75,2,Sales Executive,Very High,Divorced,9725,12278,0,Yes,No,11,Excellent,Very High,16,2,2,15,1,0
1048,59,0,Travel_Rarely,1089,Sales,1,College,Technical Degree,Male,66,3,Manager,Very High,Married,11904,11038,3,Yes,Yes,14,Excellent,High,14,1,1,6,4,0
1049,45,0,Travel_Rarely,788,Human Resources,24,Master,Medical,Male,36,1,Human Resources,Medium,Single,2177,8318,1,Yes,No,16,Excellent,Low,6,3,3,6,3,0
1050,53,0,Travel_Frequently,124,Sales,2,Bachelor,Marketing,Female,38,3,Sales Executive,Medium,Married,7525,23537,2,Yes,No,12,Excellent,Low,30,2,3,15,7,6
1052,36,1,Travel_Rarely,660,Research & Development,15,Bachelor,Other,Male,81,2,Laboratory Technician,High,Divorced,4834,7858,7,Yes,No,14,Excellent,Medium,9,3,2,1,0,0
1053,26,1,Travel_Frequently,342,Research & Development,2,Bachelor,Life Sciences,Male,57,1,Research Scientist,Low,Married,2042,15346,6,Yes,Yes,14,Excellent,Medium,6,2,3,3,2,1
1055,34,0,Travel_Rarely,1333,Sales,10,Master,Life Sciences,Female,87,1,Sales Representative,High,Married,2220,18410,1,Yes,Yes,19,Excellent,Very High,1,2,3,1,1,0
1056,28,0,Travel_Rarely,1144,Sales,10,Below College,Medical,Male,74,1,Sales Representative,Medium,Married,1052,23384,1,Yes,No,22,Outstanding,Medium,1,5,3,1,0,0
1060,38,0,Travel_Frequently,1186,Research & Development,3,Master,Other,Male,44,1,Research Scientist,High,Married,2821,2997,3,Yes,No,16,Excellent,Low,8,2,3,2,2,2
1061,50,0,Travel_Rarely,1464,Research & Development,2,Master,Medical,Male,62,5,Research Director,High,Married,19237,12853,2,Yes,Yes,11,Excellent,Very High,29,2,2,8,1,7
1062,37,0,Travel_Rarely,124,Research & Development,3,Bachelor,Other,Female,35,2,Healthcare Representative,Medium,Single,4107,13848,3,Yes,No,15,Excellent,Low,8,3,2,4,3,0
1066,40,0,Travel_Rarely,300,Sales,26,Bachelor,Marketing,Male,74,2,Sales Executive,Low,Married,8396,22217,1,Yes,No,14,Excellent,Medium,8,3,2,7,7,7
1068,26,0,Travel_Frequently,921,Research & Development,1,Below College,Medical,Female,66,1,Research Scientist,High,Divorced,2007,25265,1,Yes,No,13,Excellent,High,5,5,3,5,3,1
1069,46,0,Travel_Rarely,430,Research & Development,1,Master,Medical,Male,40,5,Research Director,Very High,Divorced,19627,21445,9,Yes,No,17,Excellent,Very High,23,0,3,2,2,2
1070,54,0,Travel_Rarely,1082,Sales,2,Master,Life Sciences,Female,41,3,Sales Executive,High,Married,10686,8392,6,Yes,No,11,Excellent,Medium,13,4,3,9,4,7
1071,56,0,Travel_Frequently,1240,Research & Development,9,Bachelor,Medical,Female,63,1,Research Scientist,High,Married,2942,12154,2,Yes,No,19,Excellent,Medium,18,4,3,5,4,0
1073,36,0,Travel_Rarely,796,Research & Development,12,Doctor,Medical,Female,51,3,Manufacturing Director,Very High,Single,8858,15669,0,Yes,No,11,Excellent,Medium,15,2,2,14,8,7
1074,55,0,Non-Travel,444,Research & Development,2,Below College,Medical,Male,40,4,Manager,Low,Single,16756,17323,7,Yes,No,15,Excellent,Medium,31,3,4,9,7,6
1076,43,0,Travel_Rarely,415,Sales,25,Bachelor,Medical,Male,79,3,Sales Executive,Very High,Divorced,10798,5268,5,Yes,No,13,Excellent,High,18,5,3,1,0,0
1077,20,1,Travel_Frequently,769,Sales,9,Bachelor,Marketing,Female,54,1,Sales Representative,Very High,Single,2323,17205,1,Yes,Yes,14,Excellent,Medium,2,3,3,2,2,0
1079,21,1,Travel_Rarely,1334,Research & Development,10,Bachelor,Life Sciences,Female,36,1,Laboratory Technician,Low,Single,1416,17258,1,Yes,No,13,Excellent,Low,1,6,2,1,0,1
1080,46,0,Travel_Rarely,1003,Research & Development,8,Master,Life Sciences,Female,74,2,Research Scientist,Low,Divorced,4615,21029,8,Yes,Yes,23,Outstanding,Low,19,2,3,16,13,1
1081,51,1,Travel_Rarely,1323,Research & Development,4,Master,Life Sciences,Male,34,1,Research Scientist,High,Married,2461,10332,9,Yes,Yes,12,Excellent,High,18,2,4,10,0,2
1082,28,1,Non-Travel,1366,Research & Development,24,College,Technical Degree,Male,72,3,Healthcare Representative,Low,Single,8722,12355,1,Yes,No,12,Excellent,Low,10,2,2,10,7,1
1083,26,0,Travel_Rarely,192,Research & Development,1,College,Medical,Male,59,1,Laboratory Technician,Low,Married,3955,11141,1,Yes,No,16,Excellent,Low,6,2,3,5,3,1
1084,30,0,Travel_Rarely,1176,Research & Development,20,Bachelor,Other,Male,85,2,Manufacturing Director,Low,Married,9957,9096,0,Yes,No,15,Excellent,High,7,1,2,6,2,0
1085,41,0,Travel_Rarely,509,Research & Development,7,College,Technical Degree,Female,43,1,Research Scientist,High,Married,3376,18863,1,Yes,No,13,Excellent,High,10,3,3,10,6,0
1088,38,0,Travel_Rarely,330,Research & Development,17,Below College,Life Sciences,Female,65,3,Healthcare Representative,High,Married,8823,24608,0,Yes,No,18,Excellent,Low,20,4,2,19,9,1
1092,40,0,Travel_Rarely,1492,Research & Development,20,Master,Technical Degree,Male,61,3,Healthcare Representative,Very High,Married,10322,26542,4,Yes,No,20,Outstanding,Very High,14,6,3,11,10,11
1094,27,0,Non-Travel,1277,Research & Development,8,Doctor,Life Sciences,Male,87,1,Laboratory Technician,High,Married,4621,5869,1,Yes,No,19,Excellent,Very High,3,4,3,3,2,1
1096,55,0,Travel_Frequently,1091,Research & Development,2,Below College,Life Sciences,Male,65,3,Manufacturing Director,Medium,Married,10976,15813,3,Yes,No,18,Excellent,Medium,23,4,3,3,2,1
1097,28,0,Travel_Rarely,857,Research & Development,10,Bachelor,Other,Female,59,2,Research Scientist,High,Single,3660,7909,3,Yes,No,13,Excellent,Very High,10,4,4,8,7,1
1098,44,1,Travel_Rarely,1376,Human Resources,1,College,Medical,Male,91,3,Human Resources,Low,Married,10482,2326,9,Yes,No,14,Excellent,Very High,24,1,3,20,6,3
1099,33,0,Travel_Rarely,654,Research & Development,5,Bachelor,Life Sciences,Male,34,3,Healthcare Representative,Very High,Divorced,7119,21214,4,Yes,No,15,Excellent,High,9,2,3,3,2,1
1100,35,1,Travel_Rarely,1204,Sales,4,Bachelor,Technical Degree,Male,86,3,Sales Executive,Low,Single,9582,10333,0,Yes,Yes,22,Outstanding,Low,9,2,3,8,7,4
1101,33,1,Travel_Frequently,827,Research & Development,29,Master,Medical,Female,54,2,Research Scientist,High,Single,4508,3129,1,Yes,No,22,Outstanding,Medium,14,4,3,13,7,3
1102,28,0,Travel_Rarely,895,Research & Development,15,College,Life Sciences,Male,50,1,Laboratory Technician,High,Divorced,2207,22482,1,Yes,No,16,Excellent,Very High,4,5,2,4,2,2
1103,34,0,Travel_Frequently,618,Research & Development,3,Below College,Life Sciences,Male,45,2,Healthcare Representative,Very High,Single,7756,22266,0,Yes,No,17,Excellent,High,7,1,2,6,2,0
1105,37,0,Travel_Rarely,309,Sales,10,Master,Life Sciences,Female,88,2,Sales Executive,Very High,Divorced,6694,24223,2,Yes,Yes,14,Excellent,High,8,5,3,1,0,0
1106,25,1,Travel_Rarely,1219,Research & Development,4,Below College,Technical Degree,Male,32,1,Laboratory Technician,Very High,Married,3691,4605,1,Yes,Yes,15,Excellent,Medium,7,3,4,7,7,5
1107,26,1,Travel_Rarely,1330,Research & Development,21,Bachelor,Medical,Male,37,1,Laboratory Technician,High,Divorced,2377,19373,1,Yes,No,20,Outstanding,High,1,0,2,1,1,0
1108,33,1,Travel_Rarely,1017,Research & Development,25,Bachelor,Medical,Male,55,1,Research Scientist,Medium,Single,2313,2993,4,Yes,Yes,20,Outstanding,Medium,5,0,3,2,2,2
1109,42,0,Travel_Rarely,469,Research & Development,2,College,Medical,Male,35,4,Manager,Low,Married,17665,14399,0,Yes,No,17,Excellent,Very High,23,3,3,22,6,13
1111,28,1,Travel_Frequently,1009,Research & Development,1,Bachelor,Medical,Male,45,1,Laboratory Technician,Medium,Divorced,2596,7160,1,Yes,No,15,Excellent,Low,1,2,3,1,0,0
1113,50,1,Travel_Frequently,959,Sales,1,Master,Other,Male,81,2,Sales Executive,High,Single,4728,17251,3,Yes,Yes,14,Excellent,Very High,5,4,3,0,0,0
1114,33,0,Travel_Frequently,970,Sales,7,Bachelor,Life Sciences,Female,30,2,Sales Executive,Medium,Married,4302,13401,0,Yes,No,17,Excellent,High,4,3,3,3,2,0
1115,34,0,Non-Travel,697,Research & Development,3,Master,Life Sciences,Male,40,1,Research Scientist,Very High,Married,2979,22478,3,Yes,No,17,Excellent,Very High,6,2,3,0,0,0
1116,48,0,Non-Travel,1262,Research & Development,1,Master,Medical,Male,35,4,Manager,Very High,Single,16885,16154,2,Yes,No,22,Outstanding,High,27,3,2,5,4,2
1117,45,0,Non-Travel,1050,Sales,9,Master,Life Sciences,Female,65,2,Sales Executive,High,Married,5593,17970,1,Yes,No,13,Excellent,Very High,15,2,3,15,10,4
1118,52,0,Travel_Rarely,994,Research & Development,7,Master,Life Sciences,Male,87,3,Healthcare Representative,Medium,Single,10445,15322,7,Yes,No,19,Excellent,Very High,18,4,3,8,6,4
1119,38,0,Travel_Rarely,770,Sales,10,Master,Marketing,Male,73,3,Sales Executive,High,Divorced,8740,5569,0,Yes,Yes,14,Excellent,Medium,9,2,3,8,7,2
1120,29,0,Travel_Rarely,1107,Research & Development,28,Master,Life Sciences,Female,93,1,Research Scientist,Very High,Divorced,2514,26968,4,Yes,No,22,Outstanding,Low,11,1,3,7,5,1
1121,28,0,Travel_Rarely,950,Research & Development,3,Bachelor,Medical,Female,93,3,Manufacturing Director,Medium,Divorced,7655,8039,0,Yes,No,17,Excellent,Medium,10,3,2,9,7,1
1124,46,0,Travel_Rarely,406,Sales,3,Below College,Marketing,Male,52,4,Manager,High,Married,17465,15596,3,Yes,No,12,Excellent,Very High,23,3,3,12,9,4
1125,38,0,Travel_Rarely,130,Sales,2,College,Marketing,Male,32,3,Sales Executive,Medium,Single,7351,20619,7,Yes,No,16,Excellent,High,10,2,3,1,0,0
1126,43,0,Travel_Frequently,1082,Research & Development,27,Bachelor,Life Sciences,Female,83,3,Manufacturing Director,Low,Married,10820,11535,8,Yes,No,11,Excellent,High,18,1,3,8,7,0
1127,39,1,Travel_Frequently,203,Research & Development,2,Bachelor,Life Sciences,Male,84,4,Healthcare Representative,Very High,Divorced,12169,13547,7,Yes,No,11,Excellent,Very High,21,4,3,18,7,11
1128,40,0,Travel_Rarely,1308,Research & Development,14,Bachelor,Medical,Male,44,5,Research Director,High,Single,19626,17544,1,Yes,No,14,Excellent,Low,21,2,4,20,7,4
1131,21,0,Travel_Rarely,984,Research & Development,1,Below College,Technical Degree,Female,70,1,Research Scientist,Medium,Single,2070,25326,1,Yes,Yes,11,Excellent,High,2,6,4,2,2,2
1132,39,0,Non-Travel,439,Research & Development,9,Bachelor,Life Sciences,Male,70,2,Laboratory Technician,Medium,Single,6782,8770,9,Yes,No,15,Excellent,High,9,2,2,5,4,0
1133,36,0,Non-Travel,217,Research & Development,18,Master,Life Sciences,Male,78,2,Manufacturing Director,Very High,Single,7779,23238,2,Yes,No,20,Outstanding,Low,18,0,3,11,9,0
1135,31,0,Travel_Frequently,793,Sales,20,Bachelor,Life Sciences,Male,67,1,Sales Representative,Very High,Married,2791,21981,0,Yes,No,12,Excellent,Low,3,4,3,2,2,2
1136,28,0,Travel_Rarely,1451,Research & Development,2,Below College,Life Sciences,Male,67,1,Research Scientist,Medium,Married,3201,19911,0,Yes,No,17,Excellent,Low,6,2,1,5,3,0
1137,35,0,Travel_Frequently,1182,Sales,11,College,Marketing,Male,54,2,Sales Executive,Very High,Divorced,4968,18500,1,Yes,No,11,Excellent,Very High,5,3,3,5,2,0
1138,49,0,Travel_Rarely,174,Sales,8,Master,Technical Degree,Male,56,4,Sales Executive,Medium,Married,13120,11879,6,Yes,No,17,Excellent,Medium,22,3,3,9,8,2
1140,34,0,Travel_Frequently,1003,Research & Development,2,College,Life Sciences,Male,95,2,Manufacturing Director,High,Single,4033,15834,2,Yes,No,11,Excellent,Very High,5,3,2,3,2,0
1143,29,0,Travel_Frequently,490,Research & Development,10,Bachelor,Life Sciences,Female,61,1,Research Scientist,Medium,Divorced,3291,17940,0,Yes,No,14,Excellent,Very High,8,2,2,7,5,1
1148,42,0,Travel_Rarely,188,Research & Development,29,Bachelor,Medical,Male,56,2,Laboratory Technician,Very High,Single,4272,9558,4,Yes,No,19,Excellent,Low,16,3,3,1,0,0
